Protein Group,Protein Ids,Protein Names,Genes,First Protein Description,Peptides,Bock_1,Bock_2,Bock_3,Abk_1,Abk_2,Abk_3
P51659,A0A2R8Y7L2;A0A2R8YD50;A0A2R8YF39;E7EPL9;E7ET17;E7EWE5;G5E9S2;P51659-2;P51659-3;P51659,DHB4_HUMAN,HSD17B4,Peroxisomal multifunctional enzyme type 2,31,3511620,4304720,4163670,5687210,4711870,5024300
Q00839,A0A1W2PP34;A0A1W2PP35;A0A1W2PPH7;A0A1W2PPL4;A0A1W2PPS1;A0A1W2PQ74;A0A1W2PQD4;A0A1W2PQL0;A0A1W2PRZ7;A0A1X7SBS1;Q00839-2;Q5RI18;Q00839,HNRPU_HUMAN,HNRNPU,Heterogeneous nuclear ribonucleoprotein U,27,5782760,4865990,5367450,4356690,2934880,4071990
P84098,J3KTE4;J3QR09;P84098,RL19_HUMAN,RPL19,60S ribosomal protein L19,4,3386380,3936660,4550950,5433590,4884340,5027870
O60306,O60306,AQR_HUMAN,AQR,RNA helicase aquarius,26,5434980,5975050,5743820,3760730,2702890,3331360
Q8IUR6;Q8IUR6-3,Q8IUR6-3;Q8IUR6,CRERF-3_HUMAN;CRERF_HUMAN,CREBRF,CREB3 regulatory factor,1,9069330,7708750,5545780,376628,,4190030
P62244,H3BVC7;I3L3P7;P62244,RS15A_HUMAN,RPS15A,40S ribosomal protein S15a,7,4028640,3684460,3295260,5312850,5283250,4621500
P49411,P49411,EFTU_HUMAN,TUFM,"Elongation factor Tu, mitochondrial",20,3883540,3378500,3719340,5285590,5239390,4617550
Q13151,Q13151,ROA0_HUMAN,HNRNPA0,Heterogeneous nuclear ribonucleoprotein A0,10,4601100,2988640,3271990,5237980,6384840,3399620
Q12906-7,Q12906-2;Q12906-3;Q12906-4;Q12906-5;Q12906-6;Q12906-7;Q96SI9-2;Q12906;Q96SI9,ILF3-7_HUMAN,ILF3,"Isoform of Q12906, Isoform 7 of Interleukin enhancer-binding factor 3",30,5199210,3387900,5219860,4328220,3780910,3639370
O76021,I3L3C4;J3QSV6;O76021,RL1D1_HUMAN,RSL1D1,Ribosomal L1 domain-containing protein 1,14,3137660,3605020,4240130,4692270,4206910,5462860
Q15428,K7EMT0;Q15428,SF3A2_HUMAN,SF3A2,Splicing factor 3A subunit 2,9,5418000,3118700,3343960,4524760,4546290,4274780
O60506,B7Z645;F6UXX1;O60506-2;O60506-3;O60506-4;O60506,HNRPQ_HUMAN,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,26,5537620,3301400,3802470,4688460,4195530,3547330
P61353,K7ELC7;P61353,RL27_HUMAN,RPL27,60S ribosomal protein L27,6,2607410,3282850,3535980,5461710,4503700,5400950
P10599,P10599-2;P10599,THIO_HUMAN,TXN,Thioredoxin,7,4575600,5818830,5849910,1772630,2710070,3877850
Q6P2Q9,I3L0J9;Q6P2Q9,PRP8_HUMAN,PRPF8,Pre-mRNA-processing-splicing factor 8,94,4927270,5173920,4938660,3342020,2313610,3476460
Q9P013,Q9P013,CWC15_HUMAN,CWC15,Spliceosome-associated protein CWC15 homolog,9,3492890,3482880,2492670,4371240,6207160,3966300
P19338,C9J1H7;C9JLB1;C9JWL1;C9JYW2;P19338,NUCL_HUMAN,NCL,Nucleolin,30,2504050,2199220,2286610,6120650,5668790,5191660
P10809,P10809,CH60_HUMAN,HSPD1,"60 kDa heat shock protein, mitochondrial",29,4550920,3267710,3375850,4387440,4528630,3786050
P62249,M0R210;P62249,RS16_HUMAN,RPS16,40S ribosomal protein S16,14,3771140,4073970,3421010,4727480,3037470,4687710
P25705,K7EJP1;K7EK77;K7ENJ4;K7EQH4;K7ERX7;P25705-2;P25705,ATPA_HUMAN,ATP5F1A,"ATP synthase subunit alpha, mitochondrial",20,3585300,3603170,3270800,4833240,4080330,4142440
Q9Y3B4,Q9Y3B4,SF3B6_HUMAN,SF3B6,Splicing factor 3B subunit 6,6,4461240,4001040,5242990,3493500,2396230,3832230
Q92620,Q92620-2;Q92620,PRP16_HUMAN,DHX38,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,3,3267600,4783950,4294280,3980500,3786980,2876730
P62753,A2A3R5;P62753,RS6_HUMAN,RPS6,40S ribosomal protein S6,10,3215110,3144280,3522030,4885160,4180860,3958900
O14979,A0A087WUK2;O14979-2;O14979-3;O14979,HNRDL_HUMAN,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,13,4976590,3235950,4072630,3917230,3661090,3004120
P83881,H0Y3V9;H0Y5B4;H7BY91;J3KQN4;H7BZ11;P83881,RL36A_HUMAN,RPL36A,60S ribosomal protein L36a,2,3553780,3389440,3883930,4869180,3934590,2912300
P06312,P06312,KV401_HUMAN,IGKV4-1,Immunoglobulin kappa variable 4-1,2,4981610,3717470,2426020,3732420,4064600,3367330
Q02878,F8VR69;F8VZ45;U3KQR5;Q02878,RL6_HUMAN,RPL6,60S ribosomal protein L6,13,3324510,2810700,2750370,4857860,3395620,4826750
P07477,A6XGL3;E7EQ64;Q9BYE2-2;Q9BYE2-3;Q9BYE2-6;P07477;Q9BYE2,TRY1_HUMAN,PRSS1,Trypsin-1,1,1680720,3148050,6051940,3237800,3348740,4300590
Q9H9Z2,Q9H9Z2,LN28A_HUMAN,LIN28A,Protein lin-28 homolog A,9,4434960,3172470,2642500,3748010,2879770,4689160
A8MWD9;P62308,C9JVQ0;F5H013;Q49AN9;A8MWD9;P62308,RUXGL_HUMAN;RUXG_HUMAN,SNRPG;SNRPGP15,Putative small nuclear ribonucleoprotein G-like protein 15,4,6219150,3684430,1553760,3289250,1247140,4984540
P49207,P49207,RL34_HUMAN,RPL34,60S ribosomal protein L34,7,2115120,2453290,2841930,4647200,4143600,4711560
Q15393,Q15393,SF3B3_HUMAN,SF3B3,Splicing factor 3B subunit 3,42,4310860,3935770,4665970,3247890,2124050,2595430
P62917,E9PKZ0;E9PP36;G3V1A1;P62917,RL8_HUMAN,RPL8,60S ribosomal protein L8,7,2919170,2703270,2140560,4613020,2866200,5262230
P49458,P49458,SRP09_HUMAN,SRP9,Signal recognition particle 9 kDa protein,5,4406780,2667690,1761790,2951370,2897930,5808700
P46783,A0A2R8Y7H1;A0A2R8YFH6;F6U211;S4R435;A0A1W2PQS6;P46783,RS10_HUMAN,RPS10,40S ribosomal protein S10,11,2971320,1962880,1777440,4249610,4577980,4865650
P52272;P52272-2,A0A087X0X3;M0QYQ7;M0R019;M0R0N3;M0R2T0;P52272-2;P52272,HNRPM-2_HUMAN;HNRPM_HUMAN,HNRNPM,Heterogeneous nuclear ribonucleoprotein M,40,3401080,3144130,4186420,3190740,2828700,3647030
P14866,P14866,HNRPL_HUMAN,HNRNPL,Heterogeneous nuclear ribonucleoprotein L,18,4166710,3212510,4345260,3223630,2747450,2373290
P46781,A0A024R4M0;A8MXK4;B5MCT8;C9JM19;F2Z3C0;P46781,RS9_HUMAN,RPS9,40S ribosomal protein S9,16,3358030,3655420,3156790,3665970,1860670,4019290
P25398,P25398,RS12_HUMAN,RPS12,40S ribosomal protein S12,7,3519460,3079030,635149,4040760,2601110,5787110
P05089,P05089-2;P05089,ARGI1_HUMAN,ARG1,Arginase-1,14,7798940,3099220,3423340,725615,2324770,2174710
Q5D862,Q5D862,FILA2_HUMAN,FLG2,Filaggrin-2,15,3888130,4658330,4241630,706508,1958300,3414730
Q99873;Q99873-2;Q99873-3,E9PIX6;E9PKG1;E9PNR9;E9PQ98;H0YDE4;Q99873-2;Q99873-3;Q99873,ANM1-2_HUMAN;ANM1-3_HUMAN;ANM1_HUMAN,PRMT1,Protein arginine N-methyltransferase 1,18,3888900,3604450,2724840,2890260,2522350,3157600
P09661,H0YKK0;P09661,RU2A_HUMAN,SNRPA1,U2 small nuclear ribonucleoprotein A',13,3443060,2684930,2631040,3272110,3553420,3166820
Q9Y2S6,A0A024R1R8;Q9Y2S6,TMA7_HUMAN,TMA7,Translation machinery-associated protein 7,3,4092250,1466530,2349940,3158570,2236460,5416730
Q9UKM9-2,Q5QPL9;Q5QPM0;Q5QPM1;Q9UKM9-2;Q9UKM9,RALY-2_HUMAN,RALY,"Isoform of Q9UKM9, Isoform 1 of RNA-binding protein Raly",14,3868130,3251860,4081940,2871720,1839470,2748270
P43243,A0A0R4J2E8;A8MXP9;B3KM87;D6R991;D6RAM9;D6RAY2;D6RBI2;D6RE02;D6REM6;D6RIA2;H0Y8T4;P43243-2;P43243,MATR3_HUMAN,MATR3,Matrin-3,28,4268290,3007650,5038210,2287480,1726970,2209890
P62314,J3QLI9;P62314,SMD1_HUMAN,SNRPD1,Small nuclear ribonucleoprotein Sm D1,4,6063250,2695770,1420210,2777270,1766300,3558150
Q02413,Q02413,DSG1_HUMAN,DSG1,Desmoglein-1,26,5545150,3221630,3812810,573687,1704700,3332490
P46779,H0YKD8;H0YLP6;H0YMF4;P46779-2;P46779-3;P46779-4;P46779-5;P46779,RL28_HUMAN,RPL28,60S ribosomal protein L28,8,2052700,1884050,2385300,3723620,2673810,5377360
O43143,A0A140T947;F5H658;O43143;O60231;Q14562,DHX15_HUMAN,DHX15,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,33,3489030,3625830,4180790,2724830,1902560,2163340
P62913;P62913-2,P62913-2;Q5VVC8;P62913,RL11-2_HUMAN;RL11_HUMAN,RPL11,60S ribosomal protein L11,6,2198710,2178700,2173620,4002330,4140480,3317550
Q8WUD4,C9JUN5;J3KR35;Q8WUD4,CCD12_HUMAN,CCDC12,Coiled-coil domain-containing protein 12,8,2509680,2741350,2224010,3527860,3617010,3376460
O15042;O15042-2,E7ET15;H7C4V2;O15042-2;O15042-3;O15042,SR140-2_HUMAN;SR140_HUMAN,U2SURP,U2 snRNP-associated SURP motif-containing protein,16,4242040,3775140,3890320,2598250,1453240,1936660
Q96J01,D6RGZ2;Q96J01-2;Q96J01,THOC3_HUMAN,THOC3,THO complex subunit 3,10,3466880,2895660,3550290,2899700,2803450,2253400
P23528,E9PK25;E9PLJ3;E9PP50;E9PQB7;G3V1A4;Q9Y281-3;P23528;Q9Y281,COF1_HUMAN,CFL1,Cofilin-1,12,2756660,2250120,2438580,2807050,3747520,3844240
Q08170,Q08170,SRSF4_HUMAN,SRSF4,Serine/arginine-rich splicing factor 4,9,3531570,4570800,2964160,2923040,2170110,1599970
Q14684;Q14684-2,Q14684-2;Q14684,RRP1B-2_HUMAN;RRP1B_HUMAN,RRP1B,Ribosomal RNA processing protein 1 homolog B,16,2486660,1329590,1988810,3629900,2947350,5067730
P46087;P46087-4,P46087-2;P46087-3;P46087-4;P46087,NOP2-4_HUMAN;NOP2_HUMAN,NOP2,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,23,2751490,1857460,2435320,3629470,2465150,4209070
P07355;P07355-2,H0YL33;H0YM50;H0YMD0;H0YMU9;H0YN28;H0YN42;H0YNP5;P07355-2;A6NMY6;P07355,ANXA2-2_HUMAN;ANXA2_HUMAN,ANXA2,Annexin A2,23,3360470,2323600,2125840,2361140,3695620,3442420
O75643,A0A494C1A5;O75643,U520_HUMAN,SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase,79,3422810,3852960,3674890,2336800,1559080,2285440
E9PRG8,A0A494BXY3;E9PLD3;E9PRG8,CK098_HUMAN,C11orf98,Uncharacterized protein C11orf98,6,2691270,2207000,2864480,3793790,2548930,2954140
P16989,P16989-3;P16989,YBOX3_HUMAN,YBX3,Y-box-binding protein 3,9,2343850,2258630,2323510,3747840,2841950,3501050
P18621;P18621-3,A0A087WWH0;A0A087WXM6;A0A087WY81;J3KRB3;J3KRX5;J3KSJ0;J3QQT2;J3QS96;P18621-3;A0A0A6YYL6;P18621,RL17-3_HUMAN;RL17_HUMAN,RPL17,60S ribosomal protein L17,6,2180340,2439060,2776220,3528750,2884480,3030810
Q15014,A0A0A0MT59;Q5JXX1;Q5JXX2;Q15014,MO4L2_HUMAN,MORF4L2,Mortality factor 4-like protein 2,5,2792890,1168730,2168090,3472760,2296780,4908830
Q99459,Q99459,CDC5L_HUMAN,CDC5L,Cell division cycle 5-like protein,34,2976110,3308310,2832860,2661160,2407230,2294910
Q96HS1,F5GXG4;Q96HS1-2;Q96HS1,PGAM5_HUMAN,PGAM5,"Serine/threonine-protein phosphatase PGAM5, mitochondrial",17,2253130,3329010,2482660,2876680,2859400,2630030
Q13595,Q13595-2;Q13595-3;Q13595-4;Q13595,TRA2A_HUMAN,TRA2A,Transformer-2 protein homolog alpha,9,2522700,3888490,2912760,2588700,2170760,2316850
Q9Y6A4,Q9Y6A4,CFA20_HUMAN,CFAP20,Cilia- and flagella-associated protein 20,7,2576340,2650630,2240280,3385510,2519820,2988870
Q6PJT7-2,G3V256;G3V411;G3V5I6;H0YJ51;H0YJA2;Q6PJT7-10;Q6PJT7-11;Q6PJT7-2;Q6PJT7-3;Q6PJT7-4;Q6PJT7-5;Q6PJT7-6;Q6PJT7-8;Q6PJT7-9;Q6PJT7,ZC3HE-2_HUMAN,ZC3H14,"Isoform of Q6PJT7, Isoform 2 of Zinc finger CCCH domain-containing protein 14",21,2849980,2855570,2907360,2666660,2775010,2261830
P07437,Q5JP53;Q5ST81;P04350;P07437;P68371,TBB5_HUMAN,TUBB,Tubulin beta chain,14,2683670,2671150,2947190,2805660,2060860,2973180
P37108,H0YLA2;P37108,SRP14_HUMAN,SRP14,Signal recognition particle 14 kDa protein,10,2765770,1307240,1526930,3507420,3873920,3097710
P05109,P05109,S10A8_HUMAN,S100A8,Protein S100-A8,4,1485140,7727130,2462040,484681,418158,3444850
P18583-5,H7C1M2;P18583-2;P18583-5,SON-5_HUMAN,SON,"Isoform of P18583, Isoform D of Protein SON",42,3027910,3140130,3769630,2424590,1760600,1878650
Q13885,Q13885,TBB2A_HUMAN,TUBB2A,Tubulin beta-2A chain,1,3692760,4202830,155923,4749620,93295.4,3087260
P15880,E9PQD7;H0YEN5;P15880,RS2_HUMAN,RPS2,40S ribosomal protein S2,14,2483370,2884690,2759900,2855560,2124480,2861820
Q9Y3X0,A0A2R8Y4Z8;M0QYB4;M0QZR0;M0R2W0;Q9Y3X0,CCDC9_HUMAN,CCDC9,Coiled-coil domain-containing protein 9,11,2266900,3118830,2399930,2685050,3102670,2276890
P26368;P26368-2,K7ENG2;P26368-2;P26368,U2AF2-2_HUMAN;U2AF2_HUMAN,U2AF2,Splicing factor U2AF 65 kDa subunit,10,3832800,3302430,2348970,2505540,2314350,1507460
P55081,P55081,MFAP1_HUMAN,MFAP1,Microfibrillar-associated protein 1,14,2861550,2028490,2532130,2701340,3756850,1771850
Q2TAY7,Q2TAY7,SMU1_HUMAN,SMU1,WD40 repeat-containing protein SMU1,15,3144540,2897620,2499180,2577060,2502280,2017370
P28799,K7EKL3;K7EQ05;K7EQI0;P28799-2;P28799-3;P28799,GRN_HUMAN,GRN,Progranulin,6,2478070,2053540,2396030,3006350,1996620,3532060
Q96P63;Q96P63-2,Q96P63-2;Q96P63,SPB12-2_HUMAN;SPB12_HUMAN,SERPINB12,Serpin B12,10,2823990,3820930,3159480,670081,1794950,3098880
Q13427,C9J679;C9JN15;C9JT64;E9PG73;Q13427-2;Q13427,PPIG_HUMAN,PPIG,Peptidyl-prolyl cis-trans isomerase G,16,2637370,3291480,3165370,2285150,1821420,2153590
P02768,A0A0C4DGB6;H0YA55;H7C013;P02768,ALBU_HUMAN,ALB,Serum albumin,23,2080520,5751020,1085070,1095970,2734670,2484570
P21333;P21333-2,A0A087WWY3;P21333-2;Q60FE5;P21333,FLNA-2_HUMAN;FLNA_HUMAN,FLNA,Filamin-A,87,1803600,2110670,1693240,3091140,3170530,3223280
Q07020;Q07020-2,A0A075B7A0;F8VYV2;G3V203;H0YHA7;J3QQ67;Q07020-2;Q07020,RL18-2_HUMAN;RL18_HUMAN,RPL18,60S ribosomal protein L18,6,1890710,2123100,1915830,3093950,2118650,3855760
P14923,P14923,PLAK_HUMAN,JUP,Junction plakoglobin,34,4824570,2609810,2309080,483498,1674120,3006990
Q9BY77,F6VRR5;F8WCX5;Q8WUT1;Q9BY77-2;Q9BY77,PDIP3_HUMAN,POLDIP3,Polymerase delta-interacting protein 3,22,2084970,2508020,2317120,2584630,2814610,2317690
Q8IYB3;Q8IYB3-2,A9Z1X7;E9PCT1;M0R088;Q8IYB3-2;Q8IYB3,SRRM1-2_HUMAN;SRRM1_HUMAN,SRRM1,Serine/arginine repetitive matrix protein 1,17,2301460,2601310,2800550,2812210,2534030,1570660
P31944,P31944,CASPE_HUMAN,CASP14,Caspase-14,15,4173600,3822630,2870610,906657,751373,1934770
P62910,D3YTB1;F8W727;P62910,RL32_HUMAN,RPL32,60S ribosomal protein L32,9,1933120,1585510,2097340,2840880,2412210,3486560
Q96FV9,A0A087WWS1;A0A087WY84;Q96FV9-2;R4GMN4;R4GN58;Q96FV9,THOC1_HUMAN,THOC1,THO complex subunit 1,24,2783760,3065430,3484250,1869480,1312260,1563390
P23246,P23246-2;P23246,SFPQ_HUMAN,SFPQ,"Splicing factor, proline- and glutamine-rich",25,1837620,1715620,1537960,2641310,3247700,3053960
P41223,P41223-2;P41223,BUD31_HUMAN,BUD31,Protein BUD31 homolog,11,2242360,2009850,1252090,3025460,2375540,3066720
Q15149,A0A075B730;H0YDN1;Q15149-2;Q15149-3;Q15149-4;Q15149-5;Q15149-6;Q15149-7;Q15149-8;Q15149-9;P58107;Q15149,PLEC_HUMAN,PLEC,Plectin,9,2396150,3027360,3240240,1242270,2116960,1779340
Q08211,Q08211,DHX9_HUMAN,DHX9,ATP-dependent RNA helicase A,38,2807620,2629950,3415270,1878740,1284460,1763080
P26599;P26599-2;P26599-3,A0A0U1RRM4;A6NLN1;K7EKJ7;K7ELW5;K7ES59;O95758-1;O95758-2;O95758-4;O95758-5;O95758-6;P26599-2;P26599-3;X6R242;O95758;P26599,PTBP1-2_HUMAN;PTBP1-3_HUMAN;PTBP1_HUMAN,PTBP1,Polypyrimidine tract-binding protein 1,10,2858330,2183280,2367430,2341910,1931530,2071880
P46782,M0QZN2;M0R0F0;M0R0R2;P46782,RS5_HUMAN,RPS5,40S ribosomal protein S5,8,1635710,1673190,1603330,3436640,1881030,3431770
Q86VM9,E7ERS3;Q86VM9-2;Q86VM9,ZCH18_HUMAN,ZC3H18,Zinc finger CCCH domain-containing protein 18,16,2394310,2459310,2432490,2183340,2059510,1965190
Q9NR30,Q9NR30-2;Q9NR30,DDX21_HUMAN,DDX21,Nucleolar RNA helicase 2,33,1664180,1992660,2013940,2764220,2272240,2753610
Q6I9Y2,A0A024R341;F8WF22;Q6I9Y2,THOC7_HUMAN,THOC7,THO complex subunit 7 homolog,12,3438910,2657040,1847840,1978620,1478420,1942370
P62310,P62310,LSM3_HUMAN,LSM3,U6 snRNA-associated Sm-like protein LSm3,2,1685710,1875520,2433940,2395860,2728760,2144440
Q9UHX1-2,A0A0J9YVP6;A0A0J9YVR6;A0A0J9YWM1;A0A0J9YXJ8;A0A0J9YXX5;A0A0J9YYL3;E9PL19;E9PMU7;E9PN18;E9PQ56;H0YEM1;Q9UHX1-2;Q9UHX1-3;Q9UHX1-4;Q9UHX1-5;Q9UHX1-6;Q9UHX1,PUF60-2_HUMAN,PUF60,"Isoform of Q9UHX1, Isoform 2 of Poly(U)-binding-splicing factor PUF60",24,2739960,1860170,2015570,2314480,2348050,1911610
P40429,M0QYS1;Q8J015;P40429;Q6NVV1,RL13A_HUMAN,RPL13A,60S ribosomal protein L13a,8,2238680,1843170,1615400,2609840,2055770,2746310
P05204,A0A087WZE9;Q15651-2;P05204;Q15651,HMGN2_HUMAN,HMGN2,Non-histone chromosomal protein HMG-17,2,3428210,1052610,1992670,2061300,1787700,2721230
P01040,C9J0E4;P01040,CYTA_HUMAN,CSTA,Cystatin-A,8,4330860,2222180,2107330,882954,1896500,1574420
P18077,P18077,RL35A_HUMAN,RPL35A,60S ribosomal protein L35a,8,1614400,1544030,1600680,2810250,2582520,2842250
O00571;O00571-2,A0A0D9SF53;A0A0D9SFB3;A0A0D9SG12;A0A2R8Y4A4;A0A2R8Y4D2;A0A2R8Y5G6;A0A2R8Y645;A0A2R8Y7T2;A0A2R8YCW1;A0A2R8YDH3;A0A2R8YDT5;A0A2R8YF78;A0A2R8YFR4;A0A2R8YFS5;A0A2U3TZJ9;C9J081;C9J8G5;F6S8Q4;O00571-2;O15523-2;O15523-3;O00571;O15523,DDX3X-2_HUMAN;DDX3X_HUMAN,DDX3X,ATP-dependent RNA helicase DDX3X,23,2314540,2648820,2574780,1865850,1550860,1937640
O00148,A0A0D9SEM9;K7EQN7;O00148-2;O00148-3;O00148,DX39A_HUMAN,DDX39A,ATP-dependent RNA helicase DDX39A,14,2614910,2319640,2114140,2177710,1674620,1977470
Q9BQG0;Q9BQG0-2,I3L1L3;Q9BQG0-2;Q9BQG0,MBB1A-2_HUMAN;MBB1A_HUMAN,MYBBP1A,Myb-binding protein 1A,6,1821150,1032000,1316550,2902640,2412910,3338470
Q09028;Q09028-3,Q09028-2;Q09028-3;Q09028-4;Q09028,RBBP4-3_HUMAN;RBBP4_HUMAN,RBBP4,Histone-binding protein RBBP4,10,1993490,1969480,1690920,2509300,2132040,2514520
Q9NY12;Q9NY12-2,Q9NY12-2;Q9NY12,GAR1-2_HUMAN;GAR1_HUMAN,GAR1,H/ACA ribonucleoprotein complex subunit 1,5,1999960,1411310,1273390,2464720,2014700,3631360
O95777,F2Z2Y6;O95777,LSM8_HUMAN,LSM8,U6 snRNA-associated Sm-like protein LSm8,3,2071830,1967370,1911380,2140420,2216330,2488090
P63244,D6RAC2;D6REE5;D6RF23;H0Y8R5;H0Y8W2;H0Y9P0;H0YAF8;H0YAM7;J3KPE3;P63244,RACK1_HUMAN,RACK1,Receptor of activated protein C kinase 1,13,2028660,1631780,1653540,2588770,2373920,2355900
Q14978;Q14978-2;Q14978-3,A0A0A0MRM9;Q14978-2;Q14978-3;Q14978,NOLC1-2_HUMAN;NOLC1-3_HUMAN;NOLC1_HUMAN,NOLC1,Nucleolar and coiled-body phosphoprotein 1,7,2397840,1712740,1552120,2461550,2608280,1769840
P08621,P08621-4;P08621,RU17_HUMAN,SNRNP70,U1 small nuclear ribonucleoprotein 70 kDa,15,2119810,2606830,2234660,1949370,1793830,1730180
Q15459,Q15459-2;Q15459,SF3A1_HUMAN,SF3A1,Splicing factor 3A subunit 1,31,2693320,1923550,2262180,2064070,1758320,1606410
P42696,A2A2V2;P42696,RBM34_HUMAN,RBM34,RNA-binding protein 34,15,1404530,1206290,1212550,2990570,2489830,2990450
Q02543,M0R0P7;M0R117;M0R1A7;M0R3D6;Q02543,RL18A_HUMAN,RPL18A,60S ribosomal protein L18a,8,1516810,1498080,1427220,2664350,2434250,2728370
Q14692,Q14692,BMS1_HUMAN,BMS1,Ribosome biogenesis protein BMS1 homolog,5,1604740,1928850,2591710,1755640,1627850,2695560
Q9Y3U8,J3KTD3;J3QSB5;Q9Y3U8,RL36_HUMAN,RPL36,60S ribosomal protein L36,5,1688230,1619720,1255220,2659610,1463850,3351400
Q15427,Q15427,SF3B4_HUMAN,SF3B4,Splicing factor 3B subunit 4,4,2223330,1974210,1864630,2040230,1684900,2214670
P19474,P19474-2;P19474,RO52_HUMAN,TRIM21,E3 ubiquitin-protein ligase TRIM21,16,1176720,1447970,1421870,2838600,2211610,2676440
O43660;O43660-2,D6RA26;O43660-2;O43660,PLRG1-2_HUMAN;PLRG1_HUMAN,PLRG1,Pleiotropic regulator 1,22,1839150,1572690,1502000,2405780,2402960,1882380
P05141,V9GYG0;P05141;P12235;P12236;Q9H0C2,ADT2_HUMAN,SLC25A5,ADP/ATP translocase 2,7,2205700,2230580,1806490,1677620,1058800,2607720
P35269,M0QXD6;P35269,T2FA_HUMAN,GTF2F1,General transcription factor IIF subunit 1,8,1769990,1364900,1864000,2271610,1719290,2462560
P00747,P00747,PLMN_HUMAN,PLG,Plasminogen,4,1512120,1538390,1604880,2129900,1800880,2561300
P32119,P32119,PRDX2_HUMAN,PRDX2,Peroxiredoxin-2,7,2784210,2103960,2190600,813466,1509900,1532700
P27635,A0A087WV22;A6QRI9;B8A6G2;F8W7C6;H7C123;H7C2C5;X1WI28;P27635;Q96L21,RL10_HUMAN,RPL10,60S ribosomal protein L10,6,1535800,1789840,1821950,2040350,1770570,1944990
E9PB61,E9PB61,E9PB61_HUMAN,ALYREF,"Isoform of Q86V81, THO complex subunit 4",1,1335050,1430830,1621940,2348190,1658090,2423030
P48047,P48047,ATPO_HUMAN,ATP5PO,"ATP synthase subunit O, mitochondrial",8,1434310,851571,979669,2242310,3300360,1861560
Q9Y5S9-2,Q9Y5S9-2,RBM8A-2_HUMAN,RBM8A,"Isoform of Q9Y5S9, Isoform 2 of RNA-binding protein 8A",1,1898630,2179180,1017110,1557000,2673910,1292790
Q8N0T1,Q8N0T1,RBIS_HUMAN,RBIS,Ribosomal biogenesis factor,9,2201960,741290,976700,2234860,1885120,2536520
O43390,O43390-2;O43390-4;O43390,HNRPR_HUMAN,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,18,2428080,1461030,1484060,2063620,1681900,1407470
Q07021,I3L3B0;I3L3Q7;Q07021,C1QBP_HUMAN,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial",6,3612940,2313980,881663,718459,727422,2212460
P56537,P56537-2;A0A0U1RQV5;P56537,IF6_HUMAN,EIF6,Eukaryotic translation initiation factor 6,6,857882,1069460,1108720,2172030,2840850,2415470
Q9NPE3,Q9NPE3,NOP10_HUMAN,NOP10,H/ACA ribonucleoprotein complex subunit 3,3,1320140,911019,1016630,2001120,2588140,2613970
Q96QD9,H9KVC1;H9KVC6;Q96QD9-2;Q96QD9-3;Q96QD9-4;Q96QD9,UIF_HUMAN,FYTTD1,UAP56-interacting factor,18,1982940,1896130,1759580,1713640,1363260,1722700
Q15365,E9PFP8;F8VRH0;F8VZX2;H3BRU6;H3BSS4;J3QT27;P57721-2;P57721-3;P57721-4;P57721-5;Q15366-2;Q15366-3;Q15366-4;Q15366-5;Q15366-6;Q15366-7;Q15366-8;P57721;Q15365;Q15366,PCBP1_HUMAN,PCBP1,Poly(rC)-binding protein 1,9,1381430,1410370,1680210,1851430,2161790,1952660
Q9HCY8,Q9HCY8,S10AE_HUMAN,S100A14,Protein S100-A14,6,2809480,2426640,2294010,235009,1101590,1561680
P07339,A0A1B0GV23;A0A1B0GVD5;A0A1B0GVP3;A0A1B0GW44;A0A1B0GWE8;H7C1V0;H7C469;P07339,CATD_HUMAN,CTSD,Cathepsin D,9,2444360,1818880,2398060,674239,1292230,1788490
P62241,Q5JR95;P62241,RS8_HUMAN,RPS8,40S ribosomal protein S8,9,1619280,1835900,1469490,1588680,1715140,2105810
Q13123,A0A0C4DGW5;Q13123,RED_HUMAN,IK,Protein Red,19,2074320,2026670,2165660,1610240,1351580,1092690
P14174,P14174,MIF_HUMAN,MIF,Macrophage migration inhibitory factor,2,2415600,1506720,1134260,1613820,1013750,2570530
P62841,A0A0B4J2B4;K7ELC2;K7EM56;K7EQJ5;S4R417;P62841,RS15_HUMAN,RPS15,40S ribosomal protein S15,3,2523300,2031280,234671,3072580,97581.4,2177920
Q9NWB6,Q9NWB6-2;Q9NWB6-3;Q9NWB6,ARGL1_HUMAN,ARGLU1,Arginine and glutamate-rich protein 1,6,1797770,2141420,1664380,1906920,1306750,1275860
Q13823,Q13823,NOG2_HUMAN,GNL2,Nucleolar GTP-binding protein 2,3,1960420,877077,1287550,2079710,1668590,2199540
