Protein Group,Protein Ids,Protein Names,Genes,First Protein Description,Peptides,Prime1_1,Prime1_2,Prime1_3,Prime2_1,Prime2_2,Prime2_3,Naive1_1,Naive1_2,Naive1_3,Naive2_1,Naive2_2,Naive2_3
B9A064,A0A0B4J231;A0M8Q6;B9A064;P0CF74;P0CG04;P0DOY2;P0DOY3,IGLL5_HUMAN,IGLL5,Immunoglobulin lambda-like polypeptide 5,3,344675,634074,233887,708808,547753,537266,313627,508223,512482,475792,624882,1101730
C4AMC7;Q6VEQ5,C4AMC7;Q6VEQ5,WASH2_HUMAN;WASH3_HUMAN,WASH2P;WASH3P,Putative WAS protein family homolog 3,2,544548,468595,402513,475174,485851,453088,523669,454045,490528,,443069,532531
C9IZ01,C9IZ01,C9IZ01_HUMAN,GFM1,"Isoform of Q96RP9, Elongation factor G, mitochondrial",1,,,,867774,853804,,,,,,649056,
C9JEJ8,A0A024R4E5;C9J5E5;C9JBS3;C9JEJ8;C9JES8;C9JHN6;C9JHS7;C9JHZ8;C9JIZ1;C9JK79;C9JT62;C9JZI8,C9JEJ8_HUMAN,HDLBP,"Isoform of Q00341, Vigilin (Fragment)",1,441311,483348,532014,512928,578628,481771,342142,642513,605968,450076,447016,417620
C9JKG1,C9JKG1,C9JKG1_HUMAN,BGN,"Isoform of P21810, Biglycan (Fragment)",1,205929,199483,213837,351450,337277,388707,520610,423210,428335,426236,464504,488122
C9JLW8,I3L2L5;I3L317;I3L4Q0;C9JLW8,MCRI1_HUMAN,MCRIP1,Mapk-regulated corepressor-interacting protein 1,5,847971,1116220,1089850,918351,955086,844610,631698,716479,698860,576910,465272,581293
C9JZW8,C9JZW8,C9JZW8_HUMAN,POLR2B,"Isoform of P30876, DNA-directed RNA polymerase II subunit RPB2 (Fragment)",1,,,445598,,459762,492310,,455793,449044,431728,,480601
C9K0I9,C9K0I9,C9K0I9_HUMAN,MYO1B,"Isoform of O43795, Unconventional myosin-Ib (Fragment)",1,635588,591708,507918,,,,,,,,,
D6R9W4,D6R9W4,D6R9W4_HUMAN,DBN1,"Isoform of Q16643, Drebrin (Fragment)",1,,662991,833551,174918,149606,,,279727,,233737,,198741
D6REC4,A0A087WWY8;A0A0U1RQC7;D6REC4,CFA99_HUMAN,CFAP99,Cilia- and flagella-associated protein 99,1,179400,,209373,329868,283256,426341,436426,346622,377869,378918,411761,417965
E5RI98,E5RI98,E5RI98_HUMAN,NPM1,"Isoform of P06748, Nucleophosmin (Fragment)",1,230720,65999.2,97840.9,339992,513764,505562,196259,342971,258699,600663,485307,381699
E5RK69,E5RK69,E5RK69_HUMAN,ANXA6,"Isoform of P08133, Annexin",2,422684,354270,295774,273315,251555,416517,,363283,357270,166153,139721,206871
E7EQT4,E7EQT4,E7EQT4_HUMAN,ACIN1,"Isoform of Q9UKV3, Apoptotic chromatin condensation inducer in the nucleus",1,995647,741558,861930,1071040,917414,1158690,671105,1063970,1159350,1035620,1054580,1033120
E7EV93;E9PGW9,E7EV93;E9PGW9,E7EV93_HUMAN;E9PGW9_HUMAN,PCM1,"Isoform of Q15154, Pericentriolar material 1 protein (Fragment)",1,178509,175655,261732,146044,168119,117833,45395.2,154702,167260,129668,122748,80809.7
E7EVA0,B5MEG9;E7EVA0,E7EVA0_HUMAN,MAP4,"Isoform of P27816, Microtubule-associated protein",10,723859,1019400,965496,661020,777716,839958,1373380,1323710,1300010,995112,1040970,1090770
E9PAV3;E9PAV3-2;Q13765,E9PAV3-2;F8VNW4;F8VZJ2;F8W0W4;F8W1N5;H0YHX9;Q13765;E9PAV3,NACAM-2_HUMAN;NACAM_HUMAN;NACA_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",6,12634900,12260000,12220500,11926900,12465600,12903200,9367800,8490050,8772910,8143420,7806340,7852200
E9PB61,E9PB61,E9PB61_HUMAN,ALYREF,"Isoform of Q86V81, THO complex subunit 4",1,2190370,2254270,2308120,3969080,4881660,3718150,4926880,4582390,4563770,5322410,5062740,5076520
E9PIE4,E9PIE4,E9PIE4_HUMAN,MTCH2,"Isoform of Q9Y6C9, Mitochondrial carrier homolog 2 (Fragment)",1,748606,860126,938691,607931,574590,555153,608291,583400,636999,617647,516253,520649
E9PK54,E9PK54,E9PK54_HUMAN,HSPA8,"Isoform of P11142, Heat shock cognate 71 kDa protein (Fragment)",1,1268360,1015770,1079250,1074260,1375260,1077380,1392060,1078850,1129840,1156820,1085700,1166670
E9PLR3,E9PLR3,E9PLR3_HUMAN,PRG4,"Isoform of Q92954, Proteoglycan 4 (Fragment)",1,2421150,1990380,1993010,1716200,1632640,1731540,2044050,1901640,1963860,1777910,1710790,1887130
E9PRG8,A0A494BXY3;E9PLD3;E9PRG8,CK098_HUMAN,C11orf98,Uncharacterized protein C11orf98,8,6059220,5956240,5370940,8810350,8948780,9131070,5747080,7042090,6984660,8845720,8343270,8560820
F5H136;F5H676;F5H726,F5H136;F5H676;F5H726,F5H136_HUMAN;F5H676_HUMAN;F5H726_HUMAN,TCP1,"Isoform of P17987, T-complex protein 1 subunit alpha (Fragment)",1,292434,372895,387433,374778,399786,448401,368331,,344215,,315682,293408
F5H8D7,F5H8D7,F5H8D7_HUMAN,XRCC1,"Isoform of P18887, DNA repair protein XRCC1",1,264936,,262555,244352,229120,179194,105816,,,,,
F8VWL3,F8VWL3,F8VWL3_HUMAN,FGD4,"Isoform of Q96M96, FYVE, RhoGEF and PH domain-containing protein 4",1,232264,186846,197055,,,34957.3,,53952.9,,,45061.9,92588.3
F8W8Y7,F8W8Y7,F8W8Y7_HUMAN,ARMCX4,"Isoform of Q5H9R4, Armadillo repeat-containing X-linked protein 4",2,123017,110227,,97065.5,84214.9,98791.2,105274,173197,123798,120415,113339,151135
F8WBJ7,F8WBJ7,F8WBJ7_HUMAN,TMEM245,"Isoform of Q9H330, Transmembrane protein 245",1,752227,739740,795411,440460,346782,383202,744462,345313,592426,551168,598277,447264
F8WCM5;P01308,A6XGL2;C9JNR5;F8WCM5;P01308,INSR2_HUMAN;INS_HUMAN,INS;INS-IGF2,"Insulin, isoform 2",1,3784830,3966730,3687310,2791930,2971030,2777320,3482760,3090920,3011380,2320920,2399770,2367620
F8WEG7,F8WEG7,F8WEG7_HUMAN,SF1,"Isoform of Q15637, Splicing factor 1",1,,1030550,1028310,967557,762023,710990,411887,682627,634794,617193,342413,568485
F8WEM7,F8WEM7,F8WEM7_HUMAN,FAM3A,"Isoform of P98173, Protein FAM3A",1,297432,284606,321810,462992,460262,531743,449325,438050,427297,433274,495934,435931
G5E9Z2,G5E9Z2,G5E9Z2_HUMAN,CLPTM1L,"Isoform of Q96KA5, Cisplatin resistance related protein CRR9p, isoform CRA_c",1,,,,,,157775,,142669,159349,150469,186843,167518
H0YAR2,H0YAR2,H0YAR2_HUMAN,PABPC1,"Isoform of P11940, Polyadenylate-binding protein 1 (Fragment)",1,248942,314355,294853,391474,389821,421506,554124,305729,341785,202778,210819,206340
H0YAT8,H0YAT8,H0YAT8_HUMAN,ATP6V1B2,"Isoform of P21281, V-type proton ATPase subunit B, brain isoform (Fragment)",1,,,,,,,657244,697004,763722,653602,488811,453249
H0YJF3,H0YJF3,H0YJF3_HUMAN,ALKBH1,"Isoform of Q13686, Nucleic acid dioxygenase ALKBH1 (Fragment)",1,174078,309468,,199561,130635,211157,222013,,,230578,,162159
H0YLD8;H0YLM1;H0YLW6,H0YLD8;H0YLM1;H0YLW6,H0YLD8_HUMAN;H0YLM1_HUMAN;H0YLW6_HUMAN,SHF,"Isoform of Q7M4L6, SH2 domain-containing adapter protein F",1,188426,205087,204050,257037,245601,169612,1354660,,154265,,,
H3BNI4,H3BNI4,H3BNI4_HUMAN,ATP6V0C,"Isoform of P27449, V-type proton ATPase proteolipid subunit",1,405636,613307,486079,489907,490908,700562,725477,662560,674314,616622,983052,943066
H3BU53,H3BU53,H3BU53_HUMAN,MGA,"Isoform of Q8IWI9, MAX gene-associated protein (Fragment)",2,,209895,369855,438900,397259,315638,414397,408011,360508,361856,301313,393656
H3BUY5,H3BUY5,H3BUY5_HUMAN,RBMX,"Isoform of P38159, RNA-binding motif protein, X chromosome",1,163298,,111105,236029,262531,422713,,246698,261480,268799,371583,299613
H7BY16,H7BY16,H7BY16_HUMAN,NCL,"Isoform of P19338, Nucleolin (Fragment)",2,,74120.8,,58771.2,61935.5,99829.7,30035.5,118014,125579,121219,134820,136276
H7BZG6,H7BZG6,H7BZG6_HUMAN,AP1S2,"Isoform of P56377, AP complex subunit sigma (Fragment)",1,365350,332694,314757,445233,427241,442594,424093,425944,437059,387241,390187,413529
H7BZJ3,H7BZJ3,H7BZJ3_HUMAN,PDIA3,"Isoform of P30101, Protein disulfide-isomerase A3 (Fragment)",1,31526500,33850100,31625700,29053600,31016500,31514900,11943800,35145100,37879600,31850400,29601600,30544700
H7C0N4;H7C561,H7C0N4;H7C561,H7C0N4_HUMAN;H7C561_HUMAN,SF1,"Isoform of Q15637, Splicing factor 1 (Fragment)",1,,,,,58505.1,,,,43947.2,102369,,68145.6
H7C4E5,H7C4E5,H7C4E5_HUMAN,COX17,"Isoform of Q14061, Cytochrome c oxidase copper chaperone (Fragment)",1,,103899,91109.1,120675,75442.2,,,81988.8,,,,
H7C552,B4DKL7;H7C552;Q7Z5D8,H7C552_HUMAN,METTL2B,"Isoform of Q6P1Q9, Methyltransferase-like protein 2B (Fragment)",1,493428,,,850921,466938,638059,713065,827862,452426,914618,617201,1008440
I3L0Q3;I3L1J3;I3NI43,I3L0Q3;I3L1J3;I3NI43,I3L0Q3_HUMAN;I3L1J3_HUMAN;I3NI43_HUMAN,ZSCAN10,"Isoform of Q96SZ4, Zinc finger and SCAN domain-containing protein 10 (Fragment)",3,340453,541937,494461,710146,670476,587566,399373,841577,688707,675034,627510,685699
J3KR51;J3KR62,J3KR51;J3KR62,J3KR51_HUMAN;J3KR62_HUMAN,ZNF525,"Isoform of Q8N782, HCG1787564",1,,,,,,,,124672,,,85498.5,
K7EJB5,K7EJB5,K7EJB5_HUMAN,SNRPD2,"Isoform of P62316, Small nuclear ribonucleoprotein Sm D2",1,958444,647712,560969,1021530,1027000,1508220,849675,753708,786322,986311,1197300,1174780
K7EJE8;K7EKE6,K7EJE8;K7EKE6,K7EJE8_HUMAN;K7EKE6_HUMAN,LONP1,"Isoform of P36776, Lon protease homolog, mitochondrial",1,1113300,1256780,1439020,1436450,1417830,1644120,620706,2946720,3082820,2623720,2423730,2456910
K7EJH0;K7EJV2;K7EMX1;K7ESQ2,K7EJH0;K7EJV2;K7EMX1;K7ESQ2,K7EJH0_HUMAN;K7EJV2_HUMAN;K7EMX1_HUMAN;K7ESQ2_HUMAN,SPC24,"Isoform of Q8NBT2, Kinetochore protein Spc24 (Fragment)",1,552719,690775,454897,359327,492050,600856,394591,444226,313949,241710,280300,297558
K7EJH8,K7EJH8,K7EJH8_HUMAN,ACTN4,"Isoform of O43707, Alpha-actinin-4 (Fragment)",2,2037970,2019940,1954010,1498060,1615320,1515400,,1715610,1425990,1153400,1461860,1410570
K7ENF0,K7ENF0,K7ENF0_HUMAN,NARS,"Isoform of O43776, Asparagine--tRNA ligase, cytoplasmic",2,683771,731168,865149,781842,1125640,961301,894483,1028220,931520,989474,1078450,1069230
K7ER88,K7ER88,K7ER88_HUMAN,ACAA2,"Isoform of P42765, 3-ketoacyl-CoA thiolase, mitochondrial (Fragment)",1,67724.6,78193.3,80138.9,61861.6,61979.4,44139.1,,50481,21886.2,60248.3,,
K7ER90,K7ER90,K7ER90_HUMAN,EIF3G,"Isoform of O75821, Eukaryotic translation initiation factor 3 subunit G (Fragment)",1,353729,,,,889012,475686,442081,510766,287725,,306595,324640
L0R6P0,L0R6P0;P86397,L0R6P0_HUMAN,RPP14,"Isoform of P86397, Alternative protein RPP14",1,184361,215787,128250,118320,120779,94933.3,,333083,372905,297642,,85254
L0R6Q1,L0R6Q1,S35U4_HUMAN,SLC35A4,"Isoform of Q96G79, SLC35A4 upstream open reading frame protein",6,2235790,2272410,2225740,2208100,2124560,2027950,2822000,2609660,2688340,2556200,2516780,2695010
L0R8F8,L0R8F8,MIDUO_HUMAN,MIEF1,"Isoform of Q9NQG6, MIEF1 upstream open reading frame protein",3,762676,860738,874663,1145900,1079560,1106340,1375030,1264970,1107550,998310,1038090,1195590
M0QYV5,M0QYV5,M0QYV5_HUMAN,CLPP,"Isoform of Q16740, ATP-dependent Clp protease proteolytic subunit, mitochondrial (Fragment)",1,,144069,178060,260625,149096,219918,503076,452065,450027,328698,381322,377800
M0QZL9,M0QZL9,M0QZL9_HUMAN,LSR,"Isoform of Q86X29, Lipolysis-stimulated lipoprotein receptor (Fragment)",1,372368,390760,284970,315269,314962,366693,297259,370729,379863,276027,275635,278443
M0QZM1,M0QZM1,M0QZM1_HUMAN,HNRNPM,"Isoform of P52272, Heterogeneous nuclear ribonucleoprotein M (Fragment)",1,2921540,2929770,2744910,3196800,3213640,3375980,3290770,3085360,3231670,3439470,3271640,3441970
M5A8F1,M5A8F1,SUPYN_HUMAN,ERVH48-1,Suppressyn,8,403130,436935,404498,443588,446807,352381,1053230,2420350,2154120,1950760,1363500,1769050
O00115;O00115-2,K7ENE5;O00115-2;O00115,DNS2A-2_HUMAN;DNS2A_HUMAN,DNASE2,Deoxyribonuclease-2-alpha,5,3618150,3245780,3384450,3809250,3791310,3355780,3911880,4556650,4690700,4459820,3944130,4067490
O00116,A0A1B0GWA2;A0A2R8YEL0;O00116,ADAS_HUMAN,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",25,4401840,4615340,4468150,3962970,3991800,3886000,4082350,5010400,5145690,4476550,4487140,4449870
O00124;O00124-3,A0A087WT23;A0A087WUA4;A0A087WV67;O00124-2;O00124-3;O00124,UBXN8-3_HUMAN;UBXN8_HUMAN,UBXN8,UBX domain-containing protein 8,3,156031,123578,242326,176812,91304.2,173123,,234605,209619,231142,149363,202904
O00139;O00139-1;O00139-2;O00139-4;O00139-5,D6R9M0;O00139-1;O00139-2;O00139-4;O00139-5;O00139,KIF2A-1_HUMAN;KIF2A-2_HUMAN;KIF2A-4_HUMAN;KIF2A-5_HUMAN;KIF2A_HUMAN,KIF2A,Kinesin-like protein KIF2A,13,1225790,1254850,1290150,1151790,1166440,1203870,1026810,967641,1032190,881513,1065010,935244
O00148,A0A0D9SEM9;K7EQN7;O00148-2;O00148-3;O00148,DX39A_HUMAN,DDX39A,ATP-dependent RNA helicase DDX39A,13,4002910,4005850,3968190,6944500,6859850,4914970,5855040,6681750,6883470,10329700,9729000,9538840
O00151,O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,13,3888000,3975620,4014860,3271640,3254890,3102520,4777080,4666950,4548340,3310710,2914470,3173060
O00154;O00154-4;O00154-6;O00154-7,K7EKP8;O00154-2;O00154-3;O00154-4;O00154-5;O00154-6;O00154-7;O00154,BACH-4_HUMAN;BACH-6_HUMAN;BACH-7_HUMAN;BACH_HUMAN,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,13,6553450,6779190,6564370,6893300,6628780,6685890,4557400,4498010,4862790,3427650,3515000,3537730
O00159,F5H6E2;I3L204;O00159-2;O00159-3;O00159,MYO1C_HUMAN,MYO1C,Unconventional myosin-Ic,46,10832900,10976100,12013900,1580990,1504560,1502410,1627480,1568730,1566430,1557430,1631950,1520310
O00159-3,O00159-3,MYO1C-3_HUMAN,MYO1C,"Isoform of O00159, Isoform 3 of Unconventional myosin-Ic",1,2637860,2552860,2508180,,2064200,2164700,,,,,,
O00161,H3BM38;H3BP15;H3BQY9;H3BV99;O00161,SNP23_HUMAN,SNAP23,Synaptosomal-associated protein 23,12,2400460,2257200,2472820,2026440,1964580,1953340,2359530,3354030,3227350,2698210,2512930,2599890
O00165;O00165-2,E9PIQ7;O00165-2;O00165-3;O00165-5;O00165,HAX1-2_HUMAN;HAX1_HUMAN,HAX1,HCLS1-associated protein X-1,8,1384130,1304600,1440970,1325880,1269220,1257400,1515530,1660810,1625060,1587190,1507430,1591100
O00170,E9PMH2;V9GYQ3;O00170,AIP_HUMAN,AIP,AH receptor-interacting protein,13,9227500,9113560,9298520,14151000,13552500,13088700,7748350,8904980,8750410,7386530,6712760,7529040
O00178,O00178,GTPB1_HUMAN,GTPBP1,GTP-binding protein 1,12,1973820,2087980,2241800,1805090,1784330,1760680,1587490,1527040,1587580,1166210,1179260,1188950
O00186,O00186,STXB3_HUMAN,STXBP3,Syntaxin-binding protein 3,16,1195460,1296260,1258490,1143140,1097650,1124530,1317470,1315930,1318600,1218590,1264840,1214520
O00189,C9IZL5;C9JC87;C9JWL4;H7BZV3;H7C0A0;O00189,AP4M1_HUMAN,AP4M1,AP-4 complex subunit mu-1,1,334088,152339,144276,150988,174097,164616,,148422,165633,112446,168352,177592
O00192;O00192-2,C9JJX6;E9PDC3;O00192-2;O00192,ARVC-2_HUMAN;ARVC_HUMAN,ARVCF,Armadillo repeat protein deleted in velo-cardio-facial syndrome,19,2698540,2463900,2482820,2057960,2089250,2040540,1530070,1607690,1640300,1683970,1725250,1599260
O00193,E9PM92;E9PQA1;O00193,SMAP_HUMAN,SMAP,Small acidic protein,3,3224350,3437640,3210550,2995460,2845460,2781930,1139810,2502580,2354330,2338630,1864680,1886850
O00203;O00203-3,A0A2R8Y2A8;O00203-3;Q13367-3;Q13367-4;O00203;Q13367,AP3B1-3_HUMAN;AP3B1_HUMAN,AP3B1,AP-3 complex subunit beta-1,14,1736860,1753850,1628160,1706360,1723750,1837430,1504340,1512670,1476600,1123370,1105440,1216550
O00217,E9PN51;E9PPW7;F8W9K7;O00217,NDUS8_HUMAN,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",7,1155790,1068800,1175310,967872,994534,976006,1107520,1020690,895611,973075,1003620,1058280
O00219,H3BRH5;O00219-2;O00219,HYAS3_HUMAN,HAS3,Hyaluronan synthase 3,5,779513,687955,662221,663318,552201,599908,841132,719598,724573,592703,684729,749553
O00231,O00231-2;O00231,PSD11_HUMAN,PSMD11,26S proteasome non-ATPase regulatory subunit 11,21,5522330,5324330,5252170,5591970,5798370,5674370,4962730,5103300,4811320,4839740,4874160,5079900
O00232,O00232-2;O00232,PSD12_HUMAN,PSMD12,26S proteasome non-ATPase regulatory subunit 12,19,9806790,10349300,10615000,10098200,10012400,10589500,8528660,8315560,8312520,9185530,9238640,9636050
O00233,F5GX23;F5H169;F5H5V4;F5H7X1;J3KN29;O00233-2;O00233,PSMD9_HUMAN,PSMD9,26S proteasome non-ATPase regulatory subunit 9,6,896213,835019,929895,802472,835129,762690,713176,778032,848888,643179,714144,629207
O00244,E5RGN3;E5RIM7;O00244,ATOX1_HUMAN,ATOX1,Copper transport protein ATOX1,2,733471,832037,869081,517165,573162,499803,383090,458695,400910,249169,285417,283838
O00255;O00255-2,E7EN32;E7ET29;O00255-2;O00255-3;O00255,MEN1-2_HUMAN;MEN1_HUMAN,MEN1,Menin,8,2147700,1888670,1924110,2259700,2208060,2341410,2452730,2746840,2820420,2604470,2879350,2612620
O00258,A0A3B3ISE5;A0A3B3ISE9;A0A3B3IT79;B7Z1T1;H7BYE5;H7C384;O00258-2;O00258,WRB_HUMAN,WRB,Tail-anchored protein insertion receptor WRB,5,786990,753120,828953,723231,702684,782273,634238,930242,945788,835437,848996,868503
O00264,O00264-2;O00264,PGRC1_HUMAN,PGRMC1,Membrane-associated progesterone receptor component 1,10,27085400,27228000,25543100,25311200,24450600,25364600,27369400,24595200,24518400,23526300,22962600,21648300
O00267-2,O00267-2;O00267,SPT5H-2_HUMAN,SUPT5H,"Isoform of O00267, Isoform 2 of Transcription elongation factor SPT5",38,3197510,3318870,3319860,3402880,3329230,3473470,3433050,3442790,3403070,3589180,3605500,3754870
O00268,A0A0G2JRY5;O00268,TAF4_HUMAN,TAF4,Transcription initiation factor TFIID subunit 4,24,4290860,3858230,3622080,6485890,6435170,6621920,5632280,5383440,5629240,6350070,6160260,6296300
O00273,O00273-2;O00273,DFFA_HUMAN,DFFA,DNA fragmentation factor subunit alpha,9,938917,881117,929199,855792,920060,774548,828790,1019580,1004620,717792,791268,765232
O00291;O00291-3;O00291-4,O00291-3;O00291-4;O00291;O75146,HIP1-3_HUMAN;HIP1-4_HUMAN;HIP1_HUMAN,HIP1,Huntingtin-interacting protein 1,17,2174820,2324660,2163210,1896930,2016400,1798070,1983120,2214460,2231770,2123970,2165100,1973390
O00292,O00292-2;O00292,LFTY2_HUMAN,LEFTY2,Left-right determination factor 2,4,,,500057,,,,2989750,2812910,2768050,3243950,3229010,2961400
O00299,O00299,CLIC1_HUMAN,CLIC1,Chloride intracellular channel protein 1,14,10210600,11074200,10347200,10051800,9791900,8171750,6647550,6894130,7016480,5059300,5569950,5443380
O00303,O00303,EIF3F_HUMAN,EIF3F,Eukaryotic translation initiation factor 3 subunit F,14,7268310,7320960,7349120,7373260,7353640,7431300,6131310,7356340,7198600,5595480,5647570,5392540
O00308,O00308-2;O00308-4;O00308,WWP2_HUMAN,WWP2,NEDD4-like E3 ubiquitin-protein ligase WWP2,4,835880,1134350,1096770,829700,727930,916104,392255,707246,649616,,583060,
O00311,O00311,CDC7_HUMAN,CDC7,Cell division cycle 7-related protein kinase,1,208582,211219,210780,218197,189882,242214,96699.8,146148,131902,181835,137287,176590
O00330;O00330-3,H0YD97;O00330-2;O00330-3;O00330,ODPX-3_HUMAN;ODPX_HUMAN,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",21,2060930,2043150,1947350,2271430,2288350,2419500,2648160,2819030,2919750,2671390,2708730,2727630
O00391;O00391-2,O00391-2;O00391,QSOX1-2_HUMAN;QSOX1_HUMAN,QSOX1,Sulfhydryl oxidase 1,2,768481,616969,731775,878442,818382,868755,1046230,947659,810918,847410,1218300,1024760
O00399,E5RK00;O00399,DCTN6_HUMAN,DCTN6,Dynactin subunit 6,3,2133260,2053610,1820710,1596910,1785360,1650420,1359380,1427230,1541090,1252900,1345380,1361190
O00400,H7C562;O00400,ACATN_HUMAN,SLC33A1,Acetyl-coenzyme A transporter 1,10,1050190,1158260,956815,933917,937702,1145890,1157400,917557,1093230,1079830,1194880,1150850
O00401,O00401,WASL_HUMAN,WASL,Neural Wiskott-Aldrich syndrome protein,5,892900,911370,760617,826797,883890,860027,891726,806630,773122,700841,658117,629246
O00410;O00410-3,H0Y8C6;O00410-2;O00410-3;O00410,IPO5-3_HUMAN;IPO5_HUMAN,IPO5,Importin-5,37,5067380,5297450,4951520,4742970,4781870,5007110,3344020,4245750,4357760,3325170,3587610,3609620
O00411,O00411,RPOM_HUMAN,POLRMT,"DNA-directed RNA polymerase, mitochondrial",29,1536450,1443920,1336080,1185810,1219960,1214550,1416870,1757950,1767690,1868860,1691530,1749610
O00422-2,O00422-2;U3KQ12;O00422,SAP18-2_HUMAN,SAP18,"Isoform of O00422, Isoform 2 of Histone deacetylase complex subunit SAP18",19,149034000,144155000,148149000,225944000,225763000,224468000,182313000,187620000,191210000,172654000,169803000,168333000
O00423;O00423-3,A0A3B3IU69;F8W717;G3V3N9;G3V500;H0YJK4;H0YJY3;O00423-3;O00423,EMAL1-3_HUMAN;EMAL1_HUMAN,EML1,Echinoderm microtubule-associated protein-like 1,1,,,76906.5,,105539,117868,,131901,,,,
O00425,O00425-2;O00425,IF2B3_HUMAN,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,27,9748890,9708360,9420000,10156600,10048800,9668300,8702400,10083200,9878180,9103700,8900080,9219230
O00429;O00429-2;O00429-3;O00429-4;O00429-5,G8JLD5;O00429-2;O00429-3;O00429-4;O00429-5;O00429-6;O00429-7;O00429-8;O00429,DNM1L-2_HUMAN;DNM1L-3_HUMAN;DNM1L-4_HUMAN;DNM1L-5_HUMAN;DNM1L_HUMAN,DNM1L,Dynamin-1-like protein,24,1935300,2277640,2107670,2127620,2007720,1990110,1569660,1688180,1644980,1406910,1538790,1332290
O00442;O00442-2,A6NIC1;O00442-2;O00442,RTCA-2_HUMAN;RTCA_HUMAN,RTCA,RNA 3'-terminal phosphate cyclase,7,1104240,1062450,1074270,1215700,1032780,1019460,805728,791927,752126,675358,647615,637599
O00443,A0A0C4DGF9;O00443-2;O00443,P3C2A_HUMAN,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,18,1870200,2058390,1772520,1426950,1504200,1562270,1593680,1475020,1582240,1422800,1445740,1346160
O00458,H0YEE3;O00458-2;O00458,IFRD1_HUMAN,IFRD1,Interferon-related developmental regulator 1,2,195950,129177,138078,67152.7,121799,170836,,,189585,195925,,113762
O00461,F8W785;O00461,GOLI4_HUMAN,GOLIM4,Golgi integral membrane protein 4,10,1655330,1691440,1666440,1353900,1328810,1410820,1643300,2269260,2253120,1900100,2037810,1989480
O00462,A0A2R8Y211;A0A2R8Y4U7;A0A2R8Y524;A0A2R8Y7A0;A0A2R8Y7A7;A0A2R8YCE9;A0A2R8YE79;A0A2R8YEC9;O00462,MANBA_HUMAN,MANBA,Beta-mannosidase,24,2011470,1958230,2000860,2216230,2206350,2263270,2495410,2565890,2570800,2234670,2214770,2161220
O00468;O00468-2;O00468-3;O00468-4;O00468-5;O00468-6;O00468-7,A0A087X208;A0A494C0G5;A0A494C1I6;O00468-2;O00468-3;O00468-4;O00468-5;O00468-6;O00468-7;O00468,AGRIN-2_HUMAN;AGRIN-3_HUMAN;AGRIN-4_HUMAN;AGRIN-5_HUMAN;AGRIN-6_HUMAN;AGRIN-7_HUMAN;AGRIN_HUMAN,AGRN,Agrin,19,866747,883755,868522,738656,785084,749488,1030570,1121270,1127580,893413,879440,918799
O00469;O00469-2,C9JXZ0;E7ETU9;O00469-2;O00469,PLOD2-2_HUMAN;PLOD2_HUMAN,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",16,1720720,1756670,1665960,2037230,2070110,2096410,1831860,2173280,2171760,1765880,1753860,1766280
O00471,A0A0A0MSI8;O00471,EXOC5_HUMAN,EXOC5,Exocyst complex component 5,3,,526629,404874,439331,620395,397984,424293,519012,599499,464664,606057,473317
O00479,O00479,HMGN4_HUMAN,HMGN4,High mobility group nucleosome-binding domain-containing protein 4,1,,,,,,,261056,377271,373470,593334,998173,581898
O00483,O00483,NDUA4_HUMAN,NDUFA4,Cytochrome c oxidase subunit NDUFA4,6,14854500,14674600,14814900,13175100,13727400,12973800,11951400,11471500,11683600,11591800,10900300,11357400
O00487,O00487,PSDE_HUMAN,PSMD14,26S proteasome non-ATPase regulatory subunit 14,11,4936060,5125440,5566290,6709210,6941010,7452830,6347400,6481240,6484110,6411650,6510950,6768910
O00488,A9J4F5;O00488,ZN593_HUMAN,ZNF593,Zinc finger protein 593,4,1415130,1299470,1249920,1655880,1618110,1748470,786036,1549880,1576270,1616100,1541120,1574150
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9,O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9;O00499,BIN1-10_HUMAN;BIN1-11_HUMAN;BIN1-2_HUMAN;BIN1-3_HUMAN;BIN1-4_HUMAN;BIN1-5_HUMAN;BIN1-6_HUMAN;BIN1-7_HUMAN;BIN1-8_HUMAN;BIN1-9_HUMAN;BIN1_HUMAN,BIN1,Myc box-dependent-interacting protein 1,2,,238689,,534949,315912,324597,,,276036,,,
O00505,O00505,IMA4_HUMAN,KPNA3,Importin subunit alpha-4,7,2600780,2613570,2662380,2602320,2748930,2739390,1756540,2576340,2714640,2055020,1815170,2086180
